Capacidad	Elementos	Naive	Programacion dinamica	2 procesadores	4 procesadores	6 procesadores	8 procesadores	Peters and Rudolph	
100	100	-	0.00397992134094	0.0163581371307	0.0169191360474	0.0205430984497	0.0229289531708	-	
100	1000	-	0.0315229892731	0.0247120857239	0.0239751338959	0.0323278903961	0.032301902771	-	
1000	100	-	0.0515270233154	0.0870230197906	0.128323078156	0.171531915665	0.186661958694	-	
1000	1000	-	0.435920000076	0.268190145493	0.219215869904	0.268204927444	0.275089025497	-	
